@name exampledata.dat
I0 226549.89313261787
columnname q; Iq
contrast 1
modelname sphere
radius 6.999999999999998
radius_mean 7.0
radius_std 0.7
weightNormFactor 0.9979999336250711
9.00000e-02 2.17259e+06 1.00000e+02
1.00000e-01 2.12671e+06 1.00000e+02
1.10000e-01 2.07748e+06 1.00000e+02
1.20000e-01 2.02483e+06 1.00000e+02
1.30000e-01 1.96853e+06 1.00000e+02
1.40000e-01 1.90938e+06 1.00000e+02
1.50000e-01 1.84789e+06 1.00000e+02
1.60000e-01 1.78383e+06 1.00000e+02
1.70000e-01 1.71786e+06 1.00000e+02
1.80000e-01 1.65036e+06 1.00000e+02
1.90000e-01 1.58136e+06 1.00000e+02
2.00000e-01 1.51160e+06 1.00000e+02
2.10000e-01 1.44091e+06 1.00000e+02
2.20000e-01 1.37013e+06 1.00000e+02
2.30000e-01 1.29910e+06 1.00000e+02
2.40000e-01 1.22877e+06 1.00000e+02
2.50000e-01 1.15867e+06 1.00000e+02
2.60000e-01 1.08957e+06 1.00000e+02
2.70000e-01 1.02142e+06 1.00000e+02
2.80000e-01 9.54959e+05 1.00000e+02
2.90000e-01 8.89905e+05 1.00000e+02
3.00000e-01 8.26494e+05 1.00000e+02
3.10000e-01 7.65437e+05 1.00000e+02
3.20000e-01 7.06405e+05 1.00000e+02
3.30000e-01 6.49499e+05 1.00000e+02
3.40000e-01 5.94990e+05 1.00000e+02
3.50000e-01 5.43274e+05 1.00000e+02
3.60000e-01 4.93923e+05 1.00000e+02
3.70000e-01 4.47551e+05 1.00000e+02
3.80000e-01 4.03380e+05 1.00000e+02
3.90000e-01 3.62252e+05 1.00000e+02
4.00000e-01 3.23870e+05 1.00000e+02
4.10000e-01 2.87972e+05 1.00000e+02
4.20000e-01 2.54871e+05 1.00000e+02
4.30000e-01 2.24489e+05 1.00000e+02
4.40000e-01 1.96686e+05 1.00000e+02
4.50000e-01 1.71157e+05 1.00000e+02
4.60000e-01 1.48171e+05 1.00000e+02
4.70000e-01 1.27107e+05 1.00000e+02
4.80000e-01 1.08625e+05 1.00000e+02
4.90000e-01 9.21694e+04 1.00000e+02
5.00000e-01 7.74489e+04 1.00000e+02
5.10000e-01 6.47370e+04 1.00000e+02
5.20000e-01 5.37044e+04 1.00000e+02
5.30000e-01 4.39945e+04 1.00000e+02
5.40000e-01 3.60282e+04 1.00000e+02
5.50000e-01 2.91067e+04 1.00000e+02
5.60000e-01 2.35291e+04 1.00000e+02
5.70000e-01 1.88389e+04 1.00000e+02
5.80000e-01 1.52851e+04 1.00000e+02
5.90000e-01 1.26305e+04 1.00000e+02
6.00000e-01 1.06070e+04 1.00000e+02
6.10000e-01 9.08430e+03 1.00000e+02
6.20000e-01 8.20738e+03 1.00000e+02
6.30000e-01 7.67325e+03 1.00000e+02
6.40000e-01 7.71411e+03 1.00000e+02
6.50000e-01 7.75517e+03 1.00000e+02
6.60000e-01 8.02012e+03 1.00000e+02
6.70000e-01 8.66998e+03 1.00000e+02
6.80000e-01 9.25453e+03 1.00000e+02
6.90000e-01 1.01311e+04 1.00000e+02
7.00000e-01 1.07657e+04 1.00000e+02
7.10000e-01 1.14491e+04 1.00000e+02
7.20000e-01 1.20199e+04 1.00000e+02
7.30000e-01 1.26262e+04 1.00000e+02
7.40000e-01 1.31181e+04 1.00000e+02
7.50000e-01 1.34879e+04 1.00000e+02
7.60000e-01 1.37296e+04 1.00000e+02
7.70000e-01 1.37442e+04 1.00000e+02
7.80000e-01 1.40862e+04 1.00000e+02
7.90000e-01 1.40626e+04 1.00000e+02
8.00000e-01 1.38674e+04 1.00000e+02
8.10000e-01 1.36214e+04 1.00000e+02
8.20000e-01 1.32518e+04 1.00000e+02
8.30000e-01 1.26360e+04 1.00000e+02
8.40000e-01 1.24839e+04 1.00000e+02
8.50000e-01 1.18353e+04 1.00000e+02
8.60000e-01 1.14357e+04 1.00000e+02
8.70000e-01 1.05791e+04 1.00000e+02
8.80000e-01 1.00848e+04 1.00000e+02
8.90000e-01 9.49245e+03 1.00000e+02
9.00000e-01 8.54255e+03 1.00000e+02
9.10000e-01 8.13343e+03 1.00000e+02
9.20000e-01 7.40645e+03 1.00000e+02
9.30000e-01 6.90392e+03 1.00000e+02
9.40000e-01 6.28346e+03 1.00000e+02
9.50000e-01 5.77930e+03 1.00000e+02
9.60000e-01 5.29208e+03 1.00000e+02
9.70000e-01 4.75482e+03 1.00000e+02
9.80000e-01 4.22982e+03 1.00000e+02
9.90000e-01 3.64555e+03 1.00000e+02
1.00000e+00 3.57626e+03 1.00000e+02
1.01000e+00 3.31764e+03 1.00000e+02
1.02000e+00 3.06392e+03 1.00000e+02
1.03000e+00 2.73173e+03 1.00000e+02
