id,"product_category_id/id","service_supplier_id/id","service_technology_id/id"
broadband_adsl_relation,"somconnexio.broadband_adsl_service","somconnexio.service_supplier_jazztel","somconnexio.service_technology_adsl"
mobile_masmovil_mobile_relation,"somconnexio.mobile_service","somconnexio.service_supplier_masmovil","somconnexio.service_technology_mobile"
broadband_vodafone_fiber_relation,"somconnexio.broadband_fiber_service","somconnexio.service_supplier_vodafone","somconnexio.service_technology_fiber"
broadband_mm_fiber_relation,"somconnexio.broadband_fiber_service","somconnexio.service_supplier_masmovil","somconnexio.service_technology_fiber"
oneshot_mm_fiber_relation,"somconnexio.broadband_oneshot_service","somconnexio.service_supplier_masmovil","somconnexio.service_technology_fiber"
oneshot_adsl_relation,"somconnexio.broadband_oneshot_adsl_service","somconnexio.service_supplier_jazztel","somconnexio.service_technology_adsl"
oneshot_vodafone_fiber_relation,"somconnexio.broadband_oneshot_service","somconnexio.service_supplier_vodafone","somconnexio.service_technology_fiber"
oneshot_masmovil_mobile_relation,"somconnexio.mobile_oneshot_service","somconnexio.service_supplier_masmovil","somconnexio.service_technology_mobile"
additional_masmovil_mobile_relation,"somconnexio.mobile_additional_service","somconnexio.service_supplier_masmovil","somconnexio.service_technology_mobile"
additional_adsl_relation,"somconnexio.broadband_additional_service","somconnexio.service_supplier_jazztel","somconnexio.service_technology_adsl"
additional_mm_fiber_relation,"somconnexio.broadband_additional_service","somconnexio.service_supplier_masmovil","somconnexio.service_technology_fiber"
additional_vodafone_fiber_relation,"somconnexio.broadband_additional_service","somconnexio.service_supplier_vodafone","somconnexio.service_technology_fiber"
oneshot_generic_adsl_relation,"somconnexio.broadband_oneshot_service","somconnexio.service_supplier_jazztel","somconnexio.service_technology_adsl"
