id,name,code,mobile,broadband
previousprovider1,Xphera Móviles,XpheraMoviles,True,False
previousprovider2,Aire / Nubip,AireNubip,True,False
previousprovider3,Orange,Orange,True,True
previousprovider4,Parlem,Parlem,True,True
previousprovider5,Yoigo,Yoigo,True,True
previousprovider6,BT,BT,True,False
previousprovider7,Carrefour,Carrefour,True,False
previousprovider8,Amena,Amena,True,False
previousprovider9,DIGI Spain Telecom,DIGI,True,False
previousprovider10,E-Plus España (KPN-Bankinter),EPLUS,True,False
previousprovider11,Eroski,Eroski,True,False
previousprovider12,Euskaltel (Europa),Euskaltel,True,False
previousprovider13,Fonyou,Fonyou,True,False
previousprovider14,GT Mobile,GTMobil,True,False
previousprovider15,Hits,Hits,True,False
previousprovider16,Ibercom,Ibercom,True,False
previousprovider17,Least Cost Routing Telecom,LeastCostRoutingTelecom,True,False
previousprovider18,Llamaya,Llamaya,True,False
previousprovider19,Lycamobile,Lycamobile,True,False
previousprovider20,More Minutes,MoreMinutes,True,False
previousprovider21,Neo Sky,NeoSky,True,False
previousprovider22,Oceane,Oceane,True,False
previousprovider23,Ono,Ono,True,True
previousprovider24,IOS -Pinger-Alow-Vozelia-KNET-SUOP,IOS,True,False
previousprovider25,Lebara,Lebara,True,False
previousprovider26,Orbitel,Orbitel,True,False
previousprovider27,Suop (IO S),Suop,True,False
previousprovider28,Pepephone 4G,Pepephone4G,True,False
previousprovider29,Procono PTV Telecom,Procono,True,False
previousprovider30,R Cable y Telecomunicaciones,RCable,True,False
previousprovider31,Sarnet,Sarnet,True,False
previousprovider32,Simyo,Simyo,True,False
previousprovider33,Telecable Móvil,TelecableMovil,True,False
previousprovider34,The Phone House,ThePhoneHouse,True,False
previousprovider35,Tuenti,Tuenti,True,False
previousprovider36,Viva Mobile,VivaMobile,True,False
previousprovider37,Vivazzi,Vivazzi,True,False
previousprovider38,Voz Telecom,VozTelecom,True,False
previousprovider39,Movistar,Movistar,True,True
previousprovider40,Más Móvil,MasMovil,True,True
previousprovider41,You Mobile,YouMobil,True,False
previousprovider42,Lowi (Vodafone Enabler),Lowi,True,False
previousprovider43,RACC,RACC,True,False
previousprovider44,Happy Móvil,HappyMovil,True,False
previousprovider45,Cable Móvil,CableMovil,True,False
previousprovider46,Infotelecom,Infotelecom,True,False
previousprovider47,República Móvil,RepublicaMovil,True,False
previousprovider48,Icatel,Icatel,True,False
previousprovider49,Vodafone-Ono,VodafoneOno,True,True
previousprovider50,PepePhone,PepePhone,False,False
previousprovider51,Jazztel,Jazztel,True,True
previousprovider52,Som Connexió,SomConnexio,True,True
previousprovider53,Euskaltel,Euskaltel,False,False
previousprovider54,Altecom,,True,False
previousprovider55,RTelecomunicaciones,,False,False
previousprovider56,Altres / Otros,Other,True,True
previousprovider57,Nubip,Nubip,False,True
