tab 	specimens
aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	description	experiments	method_codes	sample	specimen
6.3	5.9	2.3	0.343272 : 0.339670 : 0.317058 : -0.011708 : -0.004298 : 0.009694	1.223e-08	6	0.007548	Am^2	-1	ATRM	0.355990  :   321.1  :    14.7	0.330156  :    53.7  :     9.8	0.313854  :   176.3  :    72.2	Critical F: 3.1059;Critical F12/F13: 3.8853	ak04d:ATRM	LP-AN-TRM:AE-H		ak04d
6.0	1.8	6.1	0.335873 : 0.329923 : 0.334205 : 0.021398 : -0.010357 : 0.004710	1.576e-08	6	0.008918	Am^2	-1	ATRM	0.355083  :   223.6  :    10.1	0.338015  :   336.8  :    65.6	0.306903  :   129.5  :    21.9	Critical F: 3.1059;Critical F12/F13: 3.8853	cb01a:ATRM	LP-AN-TRM:AE-H		cb01a
4.0	2.4	2.6	0.335093 : 0.333266 : 0.331641 : -0.000158 : 0.003356 : 0.012870	2.767e-08	6	0.006001	Am^2	-1	ATRM	0.346685  :    12.1  :    41.5	0.333456  :   104.3  :     2.5	0.319860  :   197.1  :    48.4	Critical F: 3.1059;Critical F12/F13: 3.8853	cb01b:ATRM	LP-AN-TRM:AE-H		cb01b
3.2	0.1	5.5	0.320860 : 0.346008 : 0.333132 : -0.005156 : 0.004049 : 0.015699	5.623e-09	6	0.010519	Am^2	-1	ATRM	0.347219  :    94.1  :    11.6	0.343796  :   347.9  :    53.7	0.308985  :   192.1  :    33.9	Critical F: 3.1059;Critical F12/F13: 3.8853	cb01c:ATRM	LP-AN-TRM:AE-H		cb01c
3.4	2.2	2.1	0.348951 : 0.331875 : 0.319174 : -0.004211 : -0.004197 : -0.012371	6.174e-09	6	0.009855	Am^2	-1	ATRM	0.353724  :   172.8  :    18.8	0.333128  :   268.9  :    17.6	0.313147  :    39.1  :    63.8	Critical F: 3.1059;Critical F12/F13: 3.8853	cb02a:ATRM	LP-AN-TRM:AE-H		cb02a
17.1	3.5	20.2	0.342062 : 0.315385 : 0.342553 : -0.003810 : 0.022399 : -0.003027	8.638e-09	6	0.005982	Am^2	-1	ATRM	0.356572  :   122.0  :    55.8	0.340742  :     6.3  :    16.4	0.302686  :   266.9  :    29.1	Critical F: 3.1059;Critical F12/F13: 3.8853	cb02c:ATRM	LP-AN-TRM:AE-H		cb02c
3.3	2.6	1.6	0.334554 : 0.333839 : 0.331607 : 0.023484 : 0.000893 : 0.002532	1.687e-08	6	0.011661	Am^2	-1	ATRM	0.357908  :    44.4  :     5.3	0.331444  :   255.3  :    83.9	0.310648  :   134.7  :     3.1	Critical F: 3.1059;Critical F12/F13: 3.8853	cb05a:ATRM	LP-AN-TRM:AE-H		cb05a
10.9	1.3	14.7	0.356167 : 0.338500 : 0.305333 : -0.006165 : 0.016066 : 0.006798	5.556e-08	6	0.008606	Am^2	-1	ATRM	0.358177  :   344.5  :     2.5	0.344267  :    75.6  :    23.9	0.297556  :   249.0  :    66.0	Critical F: 3.1059;Critical F12/F13: 3.8853	cb05b:ATRM	LP-AN-TRM:AE-H		cb05b
7.7	4.3	5.3	0.360727 : 0.337185 : 0.302087 : 0.011979 : -0.010021 : -0.001089	1.092e-07	6	0.010782	Am^2	-1	ATRM	0.366136  :   203.9  :     4.5	0.334506  :   295.1  :    14.9	0.299357  :    97.5  :    74.4	Critical F: 3.1059;Critical F12/F13: 3.8853	cb06a:ATRM	LP-AN-TRM:AE-H		cb06a
41.1	1.3	66.6	0.344188 : 0.306766 : 0.349046 : 0.026852 : 0.008007 : -0.003099	3.834e-08	6	0.005086	Am^2	-1	ATRM	0.358317  :    28.4  :     6.7	0.350199  :   156.4  :    79.2	0.291484  :   297.4  :     8.4	Critical F: 3.1059;Critical F12/F13: 3.8853	cb06b:ATRM	LP-AN-TRM:AE-H		cb06b
6.5	0.1	10.7	0.351174 : 0.341279 : 0.307548 : -0.001045 : 0.014871 : 0.005612	1.653e-08	6	0.009794	Am^2	-1	ATRM	0.352002  :     8.2  :     9.8	0.346703  :   101.6  :    18.9	0.301295  :   252.2  :    68.5	Critical F: 3.1059;Critical F12/F13: 3.8853	cb09a:ATRM	LP-AN-TRM:AE-H		cb09a
23.4	8.9	21.3	0.306808 : 0.344502 : 0.348691 : 0.005113 : -0.009596 : -0.016469	5.241e-08	6	0.005611	Am^2	-1	ATRM	0.361285  :   241.8  :    52.2	0.337677  :    99.4  :    31.6	0.301038  :   357.5  :    18.6	Critical F: 3.1059;Critical F12/F13: 3.8853	cb09b:ATRM	LP-AN-TRM:AE-H		cb09b
7.0	1.1	8.9	0.322280 : 0.331695 : 0.346025 : -0.013808 : 0.000960 : -0.005759	3.386e-08	6	0.006505	Am^2	-1	ATRM	0.348842  :   136.8  :    59.9	0.339266  :   300.7  :    29.1	0.311892  :    34.6  :     7.0	Critical F: 3.1059;Critical F12/F13: 3.8853	cb09w:ATRM	LP-AN-TRM:AE-H		cb09w
4.2	1.0	4.7	0.345726 : 0.339480 : 0.314794 : 0.012920 : -0.013583 : 0.008777	3.700e-08	6	0.011570	Am^2	-1	ATRM	0.355967  :   219.9  :     2.7	0.339674  :   311.6  :    32.7	0.304359  :   125.6  :    57.1	Critical F: 3.1059;Critical F12/F13: 3.8853	cb09x:ATRM	LP-AN-TRM:AE-H		cb09x
21.3	3.8	26.1	0.365695 : 0.292366 : 0.341938 : 0.009204 : -0.013392 : -0.000009	1.322e-08	6	0.007905	Am^2	-1	ATRM	0.366953  :   187.8  :     4.2	0.345092  :   294.2  :    75.5	0.287955  :    96.7  :    13.8	Critical F: 3.1059;Critical F12/F13: 3.8853	cb11a:ATRM	LP-AN-TRM:AE-H		cb11a
11.6	11.2	3.9	0.295819 : 0.357771 : 0.346410 : 0.012532 : -0.025710 : -0.008353	1.669e-08	6	0.011690	Am^2	-1	ATRM	0.381062  :   257.3  :    37.8	0.325812  :    86.4  :    51.8	0.293126  :   350.8  :     4.4	Critical F: 3.1059;Critical F12/F13: 3.8853	cb11b:ATRM	LP-AN-TRM:AE-H		cb11b
26.1	9.6	24.1	0.353027 : 0.343177 : 0.303796 : -0.009582 : -0.010277 : 0.007653	2.642e-08	6	0.005354	Am^2	-1	ATRM	0.361371  :   326.2  :    11.8	0.337889  :   234.8  :     6.7	0.300741  :   116.0  :    76.4	Critical F: 3.1059;Critical F12/F13: 3.8853	cb12a:ATRM	LP-AN-TRM:AE-H		cb12a
3.8	1.1	3.9	0.316948 : 0.339276 : 0.343776 : 0.009217 : -0.005470 : -0.002915	1.591e-08	6	0.008345	Am^2	-1	ATRM	0.349357  :   248.6  :    47.8	0.337036  :    72.2  :    42.1	0.313607  :   340.6  :     1.8	Critical F: 3.1059;Critical F12/F13: 3.8853	cb12b:ATRM	LP-AN-TRM:AE-H		cb12b
5.9	0.8	7.8	0.347071 : 0.313024 : 0.339905 : 0.016711 : 0.010138 : -0.008813	2.663e-08	6	0.010327	Am^2	-1	ATRM	0.355428  :   197.0  :    19.4	0.342676  :    64.4  :    62.6	0.301896  :   293.8  :    18.7	Critical F: 3.1059;Critical F12/F13: 3.8853	cb12w:ATRM	LP-AN-TRM:AE-H		cb12w
6.9	0.9	9.1	0.346248 : 0.293808 : 0.359945 : 0.022376 : -0.012285 : -0.005662	3.139e-08	6	0.014853	Am^2	-1	ATRM	0.367886  :   209.5  :    54.1	0.347788  :    14.1  :    34.9	0.284326  :   109.2  :     7.3	Critical F: 3.1059;Critical F12/F13: 3.8853	cb12x:ATRM	LP-AN-TRM:AE-H		cb12x
