tab 	specimens
aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	description	experiments	method_codes	sample	specimen
15.8	2.8	19.5	0.320620 : 0.340852 : 0.338528 : 0.010075 : -0.002932 : 0.027117	1.948e-08	6	0.006994	Am^2	-1	ATRM	0.358892  :    19.3  :    50.4	0.342419  :   266.5  :    17.8	0.298689  :   163.9  :    34.0	Critical F: 3.1059;Critical F12/F13: 3.8853	ak01a:ATRM	LP-AN-TRM:AE-H		ak01a
1.8	0.2	2.5	0.351180 : 0.343893 : 0.304926 : 0.001119 : -0.000509 : -0.012140	7.400e-09	6	0.018660	Am^2	-1	ATRM	0.354313  :   186.8  :    13.8	0.343755  :    96.5  :     1.3	0.301933  :     1.3  :    76.2	Critical F: 3.1059;Critical F12/F13: 3.8853	ak01b:ATRM	LP-AN-TRM:AE-H		ak01b
7.1	0.4	10.9	0.339590 : 0.327797 : 0.332613 : -0.027877 : 0.023913 : 0.016300	2.045e-08	6	0.013637	Am^2	-1	ATRM	0.362559  :   136.5  :     8.8	0.350488  :    33.1  :    56.2	0.286953  :   232.1  :    32.3	Critical F: 3.1059;Critical F12/F13: 3.8853	ak01c:ATRM	LP-AN-TRM:AE-H		ak01c
3.3	0.1	5.5	0.315177 : 0.343196 : 0.341626 : -0.000310 : 0.001497 : 0.009358	1.674e-08	6	0.009116	Am^2	-1	ATRM	0.345411  :    64.4  :    54.9	0.342406  :   281.7  :    29.2	0.312183  :   181.5  :    17.7	Critical F: 3.1059;Critical F12/F13: 3.8853	ak01d:ATRM	LP-AN-TRM:AE-H		ak01d
20.5	9.7	16.2	0.350156 : 0.345154 : 0.304690 : 0.019606 : -0.010957 : 0.012371	1.322e-08	6	0.007063	Am^2	-1	ATRM	0.367495  :    40.5  :     2.1	0.336349  :   309.4  :    27.3	0.296157  :   134.5  :    62.6	Critical F: 3.1059;Critical F12/F13: 3.8853	ak03a:ATRM	LP-AN-TRM:AE-H		ak03a
7.9	1.5	9.4	0.344158 : 0.306198 : 0.349644 : -0.003284 : -0.020702 : 0.004837	8.963e-09	6	0.010188	Am^2	-1	ATRM	0.359991  :   313.7  :    60.5	0.342129  :   186.2  :    19.0	0.297879  :    88.3  :    21.7	Critical F: 3.1059;Critical F12/F13: 3.8853	ak03b:ATRM	LP-AN-TRM:AE-H		ak03b
102.8	7.8	150.7	0.302977 : 0.350641 : 0.346382 : 0.002240 : -0.006580 : 0.016298	1.020e-08	6	0.002803	Am^2	-1	ATRM	0.356930  :   285.4  :    45.3	0.345867  :    69.4  :    38.6	0.297204  :   175.2  :    18.9	Critical F: 3.1059;Critical F12/F13: 3.8853	ak03c:ATRM	LP-AN-TRM:AE-H		ak03c
12.8	4.2	12.5	0.341299 : 0.310807 : 0.347894 : 0.010964 : -0.003338 : -0.008051	2.305e-08	6	0.006057	Am^2	-1	ATRM	0.355190  :   198.9  :    50.0	0.337549  :    16.7  :    40.0	0.307261  :   107.6  :     1.0	Critical F: 3.1059;Critical F12/F13: 3.8853	ak04a:ATRM	LP-AN-TRM:AE-H		ak04a
6.1	0.7	8.4	0.336174 : 0.312374 : 0.351452 : 0.017379 : -0.005009 : -0.002581	6.053e-09	6	0.009746	Am^2	-1	ATRM	0.354093  :   214.7  :    62.0	0.342912  :    25.4  :    27.7	0.302994  :   117.4  :     3.9	Critical F: 3.1059;Critical F12/F13: 3.8853	ak04b:ATRM	LP-AN-TRM:AE-H		ak04b
3.8	5.8	0.2	0.355027 : 0.319619 : 0.325355 : 0.007140 : -0.000261 : 0.007350	1.692e-08	6	0.009878	Am^2	-1	ATRM	0.357989  :    10.5  :    12.4	0.324218  :   242.2  :    70.4	0.317793  :   103.8  :    14.9	Critical F: 3.1059;Critical F12/F13: 3.8853	ak04c:ATRM	LP-AN-TRM:AE-H		ak04c
