"id",attribute_line_ids/id,categ_id/id
SenseMinuts1GB_product_template,SenseMinuts1GB_product_template_attribute_line,somconnexio.mobile_service
150Min1GB_product_template,150Min1GB_product_template_attribute_line,somconnexio.mobile_service
TrucadesIllimitadesSenseDades_product_template,TrucadesIllimitadesSenseDades_product_template_attribute_line,somconnexio.mobile_service
"ADSL20MB100MinFixMobile_product_template",ADSL20MB100MinFixMobile_product_template_attribute_line,somconnexio.broadband_adsl_service
"Fibra100Mb_product_template",Fibra100Mb_product_template_attribute_line,somconnexio.broadband_fiber_service
"DadesAddicionals500MB_product_template",DadesAddicionals500MB_product_template_attribute_line,somconnexio.mobile_oneshot_service
"Internacional100Min_product_template",Internacional100Min_product_template_attribute_line,somconnexio.mobile_additional_service
"SMSMassius500SMS_product_template",SMSMassius500SMS_product_template_attribute_line,somconnexio.mobile_oneshot_service
"AltaParellExistent_product_template",,somconnexio.broadband_oneshot_service
"EnviamentRouter_product_template",,somconnexio.broadband_oneshot_service
"EnviamentSIM_product_template",,somconnexio.mobile_oneshot_service
"IPv4Fixa_product_template",,somconnexio.broadband_additional_service
"RecollidaRouter_product_template",,somconnexio.broadband_oneshot_service
"SubscripcioMobil_product_template",,somconnexio.invoice_subscription
"SubscripcioBandaAmpla_product_template",,somconnexio.invoice_subscription
"SubscripcioBandaAmplaIPFixa_product_template",,somconnexio.invoice_subscription
"SubscripcioBandaAmplaBordaServeiFibra_product_template",,somconnexio.invoice_subscription
"SubscripcioBandaAmplaBordaDonacioManteniment_product_template",,somconnexio.invoice_subscription
"SubscripcioBandaAmplaBordaServeiFibraLocal_product_template",,somconnexio.invoice_subscription
"SubscripcioTrucadesInternacionals_product_template",,somconnexio.invoice_subscription
"ConsumVeuNacional_product_template",,somconnexio.invoice_consumption
"ConsumVeuInternacional_product_template",,somconnexio.invoice_consumption
"ConsumVeuEspecial_product_template",,somconnexio.invoice_consumption
"ConsumVeuNacionalDinsTarifa_product_template",,somconnexio.invoice_consumption
"ConsumVeuNacionalForaTarifa_product_template",,somconnexio.invoice_consumption
"ConsumTrucadesInternacionals_product_template",,somconnexio.invoice_consumption
"ConsumTrucadesEspecial_product_template",,somconnexio.invoice_consumption
"ConsumTrucadesRoaming_product_template",,somconnexio.invoice_consumption
"ConsumTrucadesSomConnexio_product_template",,somconnexio.invoice_consumption
"ConsumDadesIncloses_product_template",,somconnexio.invoice_consumption
"ConsumDadesNoIncloses_product_template",,somconnexio.invoice_consumption
"ConsumDadesRoaming_product_template",,somconnexio.invoice_consumption
"ConsumSMSNacional_product_template",,somconnexio.invoice_consumption
"ConsumSMSInternacional_product_template",,somconnexio.invoice_consumption
"ConsumSMSRoaming_product_template",,somconnexio.invoice_consumption
"OneShotBillableProduct_product_template",,somconnexio.invoice_oneshot
EnviamentSIMTrebolMRW_product_template,,somconnexio.mobile_oneshot_service
EnviamentSIMCleta_product_template,,somconnexio.mobile_oneshot_service
EnviamentSIMEntregaMateixDia_product_template,,somconnexio.mobile_oneshot_service
EnviamentSIMUrgentBalears_product_template,,somconnexio.mobile_oneshot_service
EnviamentSIMUrgentCanaries_product_template,,somconnexio.mobile_oneshot_service
EnviamentSIMSenseCost_product_template,,somconnexio.mobile_oneshot_service
"RouterModelNCDS124WSU_product_template",,somconnexio.router_category
"RouterModelNCDS224WTV_product_template",,somconnexio.router_category
100MinSenseDades_product_template,100MinSenseDades_product_template_attribute_line,somconnexio.mobile_service
200MinSenseDades_product_template,200MinSenseDades_product_template_attribute_line,somconnexio.mobile_service
