@name exampleData/iqt_1hho.dat
Drot 1.618e-05
Dtrans 8.752e-05
Sq 1.22151758176e-05
columnname time; Sqt; Sqt0
lmax 9
q 0.2
totalVolume 38.1095334325
viscosity 753.588390492
1.00000e+00 1.01703e+00 2.00000e-02
6.21053e+00 9.92023e-01 2.00000e-02
1.14211e+01 9.82855e-01 2.00000e-02
1.66316e+01 9.18514e-01 2.00000e-02
2.18421e+01 9.04310e-01 2.00000e-02
2.70526e+01 8.78826e-01 2.00000e-02
3.22632e+01 8.78548e-01 2.00000e-02
3.74737e+01 8.48403e-01 2.00000e-02
4.26842e+01 8.63324e-01 2.00000e-02
4.78947e+01 8.35559e-01 2.00000e-02
5.31053e+01 7.80701e-01 2.00000e-02
5.83158e+01 8.36425e-01 2.00000e-02
6.35263e+01 8.13318e-01 2.00000e-02
6.87368e+01 7.70540e-01 2.00000e-02
7.39474e+01 7.74127e-01 2.00000e-02
7.91579e+01 7.54725e-01 2.00000e-02
8.43684e+01 7.73638e-01 2.00000e-02
8.95789e+01 7.43734e-01 2.00000e-02
9.47895e+01 6.94934e-01 2.00000e-02
1.00000e+02 7.05319e-01 2.00000e-02

@name exampleData/iqt_1hho.dat
Drot 1.618e-05
Dtrans 8.752e-05
Sq 1.1541487912e-05
columnname time; Sqt; Sqt0
lmax 9
q 0.3
totalVolume 38.1095334325
viscosity 753.588390492
1.00000e+00 9.82856e-01 2.00000e-02
6.21053e+00 9.61887e-01 2.00000e-02
1.14211e+01 9.16083e-01 2.00000e-02
1.66316e+01 8.69002e-01 2.00000e-02
2.18421e+01 9.01319e-01 2.00000e-02
2.70526e+01 7.90480e-01 2.00000e-02
3.22632e+01 7.73523e-01 2.00000e-02
3.74737e+01 6.97824e-01 2.00000e-02
4.26842e+01 7.10330e-01 2.00000e-02
4.78947e+01 6.74751e-01 2.00000e-02
5.31053e+01 6.73970e-01 2.00000e-02
5.83158e+01 6.33690e-01 2.00000e-02
6.35263e+01 6.22439e-01 2.00000e-02
6.87368e+01 5.73230e-01 2.00000e-02
7.39474e+01 5.27976e-01 2.00000e-02
7.91579e+01 5.23341e-01 2.00000e-02
8.43684e+01 5.12751e-01 2.00000e-02
8.95789e+01 4.87364e-01 2.00000e-02
9.47895e+01 4.81379e-01 2.00000e-02
1.00000e+02 4.34766e-01 2.00000e-02

@name exampleData/iqt_1hho.dat
Drot 1.618e-05
Dtrans 8.752e-05
Sq 1.06565120425e-05
columnname time; Sqt; Sqt0
lmax 9
q 0.4
totalVolume 38.1095334325
viscosity 753.588390492
1.00000e+00 9.81140e-01 2.00000e-02
6.21053e+00 8.97300e-01 2.00000e-02
1.14211e+01 8.66998e-01 2.00000e-02
1.66316e+01 7.85027e-01 2.00000e-02
2.18421e+01 7.33418e-01 2.00000e-02
2.70526e+01 6.89591e-01 2.00000e-02
3.22632e+01 6.53913e-01 2.00000e-02
3.74737e+01 6.02859e-01 2.00000e-02
4.26842e+01 5.31091e-01 2.00000e-02
4.78947e+01 5.16090e-01 2.00000e-02
5.31053e+01 4.81833e-01 2.00000e-02
5.83158e+01 4.27754e-01 2.00000e-02
6.35263e+01 4.13384e-01 2.00000e-02
6.87368e+01 3.64946e-01 2.00000e-02
7.39474e+01 3.71506e-01 2.00000e-02
7.91579e+01 3.29237e-01 2.00000e-02
8.43684e+01 3.04848e-01 2.00000e-02
8.95789e+01 3.02185e-01 2.00000e-02
9.47895e+01 2.62826e-01 2.00000e-02
1.00000e+02 2.39965e-01 2.00000e-02

@name exampleData/iqt_1hho.dat
Drot 1.618e-05
Dtrans 8.752e-05
Sq 9.61386323437e-06
columnname time; Sqt; Sqt0
lmax 9
q 0.5
totalVolume 38.1095334325
viscosity 753.588390492
1.00000e+00 9.88959e-01 2.00000e-02
6.21053e+00 8.96204e-01 2.00000e-02
1.14211e+01 7.71284e-01 2.00000e-02
1.66316e+01 6.79968e-01 2.00000e-02
2.18421e+01 5.93928e-01 2.00000e-02
2.70526e+01 5.44279e-01 2.00000e-02
3.22632e+01 5.12497e-01 2.00000e-02
3.74737e+01 4.42950e-01 2.00000e-02
4.26842e+01 3.96304e-01 2.00000e-02
4.78947e+01 3.27531e-01 2.00000e-02
5.31053e+01 3.17955e-01 2.00000e-02
5.83158e+01 2.59422e-01 2.00000e-02
6.35263e+01 2.84208e-01 2.00000e-02
6.87368e+01 2.30114e-01 2.00000e-02
7.39474e+01 2.17687e-01 2.00000e-02
7.91579e+01 1.64128e-01 2.00000e-02
8.43684e+01 1.63952e-01 2.00000e-02
8.95789e+01 1.16592e-01 2.00000e-02
9.47895e+01 1.34581e-01 2.00000e-02
1.00000e+02 1.21133e-01 2.00000e-02

@name exampleData/iqt_1hho.dat
Drot 1.618e-05
Dtrans 8.752e-05
Sq 8.46531633752e-06
columnname time; Sqt; Sqt0
lmax 9
q 0.6
totalVolume 38.1095334325
viscosity 753.588390492
1.00000e+00 9.51455e-01 2.00000e-02
6.21053e+00 7.89248e-01 2.00000e-02
1.14211e+01 7.04287e-01 2.00000e-02
